Weight constraint (level),Number of runs,Success,AvgTime(ms),AvgIteration,AvgDuplicate(%),StdDev
1,10,10,2502.20,50,2.44,386.5175
2,10,10,4652.00,50,5.63,835.0501
3,10,10,4158.40,50,5.69,130.2983
1,20,20,2131.85,50,2.81,105.5800
2,20,20,4163.80,50,5.14,136.5484
3,20,20,4274.50,50,5.77,376.3830
1,50,50,2095.60,50,2.76,146.5933
2,50,50,4501.10,50,5.46,2530.4195
3,50,50,3916.50,50,5.92,556.1021
1,100,100,2209.65,50,2.71,333.1102
2,100,100,4253.48,50,5.07,405.6789
3,100,100,4300.42,50,6.03,541.1340
1,500,500,2137.43,50,2.61,278.8888
2,500,500,4215.28,50,5.15,364.4617
3,500,500,4228.10,50,6.16,413.8514
